generation,best_fitness,avg_fitness,survivors
1,9682.644833592354,4763.982269710472,45
2,10338.689403562783,5818.233636047812,48
3,9751.76824363483,4974.923995844048,33
4,10302.17931961697,5513.450840732599,41
5,10007.530309139627,5343.049417794999,44
6,10538.926162960297,6430.391767591133,67
7,10382.639406709495,6627.919452063863,56
8,10430.417524273436,6408.736405551995,49
9,10658.58059668717,6842.74992828931,59
10,10522.39185912545,6558.300212678512,52
11,10494.853222828871,6636.035951869335,41
12,10476.15247756413,6788.938054667341,53
13,10302.955421554569,6784.434303760567,51
14,10318.811676245681,7431.4605970342745,57
15,10605.128656747029,7542.899004202236,60
16,10665.315642384014,7772.566448309922,64
17,10626.346150524962,8047.529478552826,68
18,10655.61580267032,7160.634187118192,53
19,10561.883018829963,7384.182540349002,60
20,10410.460895463157,7516.439750010527,56
21,10579.65597547494,7534.85944795194,58
22,10627.121154999397,7329.613654063668,51
23,10538.672465526646,6686.637566286405,47
24,10699.382719384637,7544.222216617281,58
25,10541.721666139774,7219.022208541956,57
26,10515.087781098322,7481.996915788258,52
27,10594.241269143171,7534.601647134854,56
28,10682.945790342397,7351.855553882894,51
29,10654.171488375723,7651.065991945312,56
30,10543.462567382809,7846.900263996652,60
31,10771.965952897175,7367.619929341141,49
32,10594.777569798298,7770.019929200835,56
33,10704.915684082644,8598.06936390715,75
34,10684.213424067097,7393.842076159473,60
35,10697.36810842101,7435.023627042223,54
36,10693.996372813026,7991.651569328338,68
37,10604.23754937268,8161.751429830311,65
38,10719.128720060062,6993.064037916317,50
39,10435.233136861574,7328.542027782111,54
40,10634.376454399047,8001.624210464594,66
41,10469.800370555356,7785.253446932038,60
42,10427.054628063272,7612.640666028103,59
43,10576.416914939244,7281.364219171357,56
44,10458.471617299438,8353.939221813502,72
45,10636.85338141696,7600.768143165547,59
46,10559.508637728444,8101.021405063116,61
47,10427.900603078275,7896.017254132478,61
48,10472.968005540337,8285.434187144232,74
49,10309.010326008278,7803.3132778332065,66
50,10370.928660255317,7765.3574324459005,62
51,10464.443313529348,7677.016623875314,54
52,10465.98741490537,7632.0741074634925,61
53,10518.922173993622,7513.597888235102,58
54,10531.727166754003,7708.496920806082,57
55,10526.067633313818,7655.265216569271,62
56,10546.751992712889,7808.8846281634,65
57,10721.56564603544,8130.731785420928,68
58,10435.666661207653,7319.004389600587,54
59,10741.618537594393,7872.899624268619,64
60,10416.686116988492,7802.014176566025,60
61,10576.297967322962,8060.670576771419,68
62,10502.032119004827,7784.616071013705,57
63,10596.817645011044,7963.135887543102,67
64,10679.852399020387,8168.023760653601,66
65,10654.295097405822,7804.936744774805,59
66,10557.981624585153,7740.361373844204,62
67,10747.996510188905,7018.407676605941,54
68,10537.428255705037,7777.750107507533,62
69,10418.615920074526,8219.09175515249,70
70,10567.271740980683,7719.190625962128,65
71,10655.465877795612,7645.01798230869,59
72,10613.612751241873,7706.79276995474,62
73,10445.710241839217,7479.812310733054,56
74,10372.541170625569,7921.239423410405,63
75,10581.771384211357,8166.769468956907,69
76,10427.13072654343,8128.968996174641,68
77,10535.94773746922,7916.481418476761,63
78,10493.913122122569,7795.712164073236,63
79,10344.683565384643,7477.651649794117,60
80,10373.260992079797,7952.622344329363,62
81,10499.08994591162,8012.201913993283,66
82,10520.646509151797,8391.30278455764,72
83,10479.821315316378,7652.751468129599,62
84,10567.977920642426,8352.60661481967,68
85,10721.73738354348,8101.890646851939,65
86,10430.846706016733,8052.811910662329,70
87,10539.722086067484,8137.311961345484,68
88,10502.843790888148,7851.533388611407,61
89,10494.325596027256,7959.184965721339,66
90,10549.31767157269,8472.359609944107,70
91,10555.602041378208,8317.788191884425,71
92,10590.911888550518,7967.975871513175,65
93,10518.325677671393,8470.537706084706,70
94,10438.327227049214,8158.29388714924,69
95,10488.179981742765,7334.2432656204855,59
96,10549.612628316996,8551.63867096962,77
97,10516.793540037776,8242.585222400237,67
98,10548.01767835178,7764.896637464937,68
99,10440.095302596272,7912.290174794034,67
100,10444.825027013998,8254.301222227316,72
101,10428.625190868905,8152.089285725326,68
102,10566.945801654227,8323.844474007354,76
103,10588.984925919694,8025.501054499923,65
104,10403.455058568192,7978.899432715337,66
105,10452.554386137435,7712.638414382379,60
106,10668.675708257395,7719.548464539654,64
107,10485.47025263575,7983.288335155283,65
108,10474.825624894127,7862.489262251047,65
109,10352.984148538975,7682.595090083179,60
110,10360.297747074766,7706.927474386317,61
111,10595.023962399357,8029.421819191907,69
